user,location,text
itsjohanana,Colombia,"#Anonymous tumbaron la página del ejército y del senado pa cuando la del ICETEX? Jajajaa 

Ojalá tumben todo lo que… https://t.co/u1TOqaFXQi"
amalece,Colombia,Pagar mal por mal jamás será la solución #Anonymous
JohanCaviedes,Bogotá - Colombia,"Quieren legitimar las masacres perpetradas en Cali
#SOSColombia #SOSColombiaDDHH #SOSCali 
#Anonymous https://t.co/QmyZxdA13o"
JorgeAndres_89,,"#Anonymous Gracias por lo que hicieron. Ahora, protestantes, ustedes, que salen a marchar, son los héroes más tesos… https://t.co/voTPySnusd"
SoymaryYluz,𝓒𝓸𝓵𝓸𝓶𝓫𝓲𝓪-𝓑𝓸𝓰𝓸𝓽𝓪 ,"@josegreghg @CConstitucional 🚨SOS🚨 #NosEstanMatando 
#SOSColombiaDDHH #EstadoAsesino  #EstadoDeConmocionInterior 
🚨… https://t.co/58I9cZr5n7"
rm_yoshi,,#Anonymous silence @NoticiasRCN y @NoticiasCaracol
tulito_,,"#AnonymousColombia
#Anonymous
Estos son unos tesos jajajaja van 3 en un solo día😜😜😜 https://t.co/54daO8QJtq"
soy__sebas22,"Santa Marta, Colombia","Tenemos que tumbar a toda esa bancada, todos están llenos de sangre del pueblo. #SOSColombiaDDHH #DuqueAsesino… https://t.co/oYCybHaa7L"
AnonymousOpCol1,,"#OpColombia 🔐⚙: filtraciones de la presidencia de Colombia.

 DataLeak: https://t.co/D9ZlRVaOXC 

#Anonymous: ¡La c… https://t.co/ewbXMLo5b0"
Colombiano1810,Colombia,#Anonymous #AnonymousColombia borre todas las cuentas de r des sociales de  @AlvaroUribeVel @IvanDuque… https://t.co/Z3LsKLQuNj
Dos2marias,,"#Anonymous  ha hecho más por Colombia que Duque.  

#Anonymous #AnonymousColombia #ColombiaSOS"
Sebasmoraleess,"Medellín, Colombia","🇦🇲💔👏🏽 No mas al narcogobierno, no mas al presidente narcoparamilitar ivan duque, no mas a su jefe genocida norcopar… https://t.co/wkk0yks9IN"
TinOrtiz5,,"@AnonymousOpCOL @AlvaroUribeVel 🇦🇲💔👏🏽 No mas al narcogobierno, no mas al presidente narcoparamilitar ivan duque, no… https://t.co/bPS0p2SR0t"
yaro_torres,,Deberían hakear las cuentas del Icetex y eliminarnos a todos de ahí #Anonymous
valeriiaxz,,Que tumbe las noticias 🕯🕯🕯🕯 #Anonymous
Ocampo__01,,"#Anonymous RCN NO INFORMA, LO QUE HACE ES DESINFORMAR"
Naye54072267,,"ASÍ NO SEAN DE COLOMBIA,COPIEN Y PEGUEN
 @ONU_es
@onucolombia 
@ONU_derechos
@CIDH
@CNNEE
@cnnbrk
@ajplusespanol… https://t.co/erAPInwXRZ"
Coty_correaa,La Plata ,Apareció #Anonymous
RoniM204,,"COPIEN Y PEGUEN
hermanos colombianos, su lucha no es en vano, desde México rogando que estén a salvo 🇨🇴🙏… https://t.co/2te3Kkspe5"
luishdi,,confirmado... #Anonymous tumba la página de Presidencia https://t.co/SzJqYY32bT
abejaran98,.,En conclusion los noticieros vendidos de este pais estan encabezados por RCN y CARACOL que distorsionan lo que REAL… https://t.co/GBEg3LIKzR
ElUniversalCtg,"Cartagena, Colombia",#Atención El grupo de hackers #Anonymous anunció por medio de Twitter que hackeó la página web del Senado de… https://t.co/7Xmbdc2Hcx
marcela_1497,"Quindio, Colombia",Nos están matando #SOSColombiaDDHH #Anonymous
D4n11_,Colombia,¡¡Colombia despertó!! #SOSColombiaDDHH #Anonymous https://t.co/Bt5T1z3AgX
lilia_rosa__,Costa Caribe Colombiana ,Te lo ruego #Anonymous https://t.co/34473wqivA
ocean94girl,,"#SOSColombiaDDHH  #SOSColombiaNosEstanMatando  #ParoNacional4M  #Anonymous  #CHAMPIONSxESPN  
El alcalde del munici… https://t.co/bZHOStPl9R"
Nexxbot,:* Viaje astral • he!him,"#Anonymous acaba de tirar la pagina del senado ademas de filtrar los nombres, correos y contraseñas del senado.
Los… https://t.co/SIangTLq3p"
TinOrtiz5,,"🇦🇲💔👏🏽 No mas al narcogobierno, no mas al presidente narcoparamilitar ivan duque, no mas a su jefe genocida norcopar… https://t.co/xCbasTpYXQ"
jeiman28,sincelejo,#Anonymous borren la base de datos del icetex y Datacredito
D0200020,,seria un sueño echo realidad sinceramente #Anonymous  #FuerzaCOLOMBIA  #AnonymousColombia  https://t.co/xuOwaKeX8a
Smith74828486,"Antioquia, Colombia",#Anonymous Gracias #SOSColombiaNosEstanMatando https://t.co/0DGdW5N5k5
soy__sebas22,"Santa Marta, Colombia",Hasta los entes internacionales están apoyando al pueblo Colombiano. Pero este gobierno hace oídos sordos y nos sig… https://t.co/R2cbfiGGId
Brian_684,Colombia,"#Anonymous #AnonymousColombia #ParoNacional4M 
#SOSColombiaNosEstanMatando 
#SOSColombiaDDHH… https://t.co/iFLSxVNUpX"
SrzGema,,@SpringIna_ Yo creo que fue #Anonymous
Ocampo__01,,#Anonymous ORGULLO COLOMBIANO🇦🇲 VAMOS QUE EN ESTA LUCHA NO ESTAMOS SOLOS
JaromySantiago,,"Colombia mantente fuertee, hermanas y hermanos colombianos resistan, no estan solos, toda latinoamerica los respald… https://t.co/KwWPHFXlZI"
_melanieeeb,,"Será que #Anonymous no puede callar las noticias de @NoticiasCaracol y @NoticiasRCN, hablan tanta basura que solo generan dolor de cabeza."
johny_ac,"Guadalajara, Jalisco","#ULTIMAHORA Circula una ""supuesta"" lista de tarjetas, filtrada por una cuenta que dice pertenecer al colectivo… https://t.co/lK1WKIhu1g"
DuvanVillanuev2,"Florencia - Caquetá, Colombia",@JDMC3223 Por fa #Anonymous tengo que pagar 1.400.000 antes del 12 de mayo
jeffreymasrock,,#Anonymous borrenme las foto multas 🙌
untalzbz,Colombia,Ya tumbaron la página presidencial #Anonymous
YourAnon_Es,WE ARE ANONYMOUS,"Si algún Anonymous te esta pidiendo tus datos, dinero etc. no es Anonymous, no te dejes engañar, hay gente que se a… https://t.co/gSOE34sSH0"
PablitoTvk,,#Anonymous Tumben las noticias Y pongan Los videos de abuso policial !!!!
Natillanat,Colombia,Gracias a #Anonymous  Tumbaron la página del Senado #Anonymous https://t.co/CB1PlAl0po
_Amada_01,Colombia,La democracia y gobernantes no son mala idea la mala idea es cuando pierden el norte y el porque #Anonymous… https://t.co/YWc3JjxV16
SublimeUser,,"A SEGUIR APOYANDO LA CAUSA
WE ARE #ANONYMOUS https://t.co/HNvxhIvMBK"
enefantes,660001,"@solo_otra_cuent @AnonymousOpCOL conéctate desde un vpn y abre el enlace desde Tor, sino no te lo recomiendo… https://t.co/x9K4lx0ULj"
DaviDucuara,,Gente #Anonymous tumbo la página de la República de Colombia #Colombia #ColombiaResiste #FuerzaCOLOMBIA https://t.co/39AkCF9dVJ
sjuliana23_,Bucaramanga.,"Mis respetos para #Anonymous , son unos crackssssss 👏🏻"
Hela77619750,,"Los policías se están drogando!!!! Con todo respeto, que hijos de puta. #ColombiaEnAlertaRoja #ColombiaResiste… https://t.co/kgmeD0kve9"
Diegooperilla,,@2401_Penitent @YourAnonNews @AnonNews_Col @infopresidencia Tengamos fe a @AnonNews_Col @YourAnonNews  ya podrá vam… https://t.co/1awm11gAtA
PolarizaD0,Éxodo,"Primero los K-popers y ahora #Anonymous! 

La vieja raza indígena colombiana nunca será subestimada otra vez!

#SOSColombiaDDHH"
1tintico,,@LinaLeo73908100 #Anonymous tumban la página de la presidencia en Colombia 🇨🇴🇨🇴🇨🇴❤️ infinitas gracias.… https://t.co/OtrcHFWzhV
taniaroja,"Cali, Colombia",Yo si decía porque la novela estuvo tan larga jajajaj #Anonymous los amo 🤣❤️🙌🏽
Laurafe22636073,,Esto paso en una clase 😲😪 #FuerzaCOLOMBIA #Colombia #Anonymous #ColombiaSOS https://t.co/NrLP55yozo
anamariagarey,Bogotá D.C,"Parce que chimba, todo mi amor para anonymous
#Anonymous
#AnonymousColombia
#SOSColombiaDDHH #ParoNacional4M… https://t.co/nT26ZK7nnb"
Tendencia_Peron,Peronia,"#Anonymous

Porque lograron vulnerar la seguridad de los servidores del ejército colombiano ✊ https://t.co/YBlfgbgAhK"
AdanSenor,Sodoma y Egipto.,"#Anonymous #SOSColombiaDDHH #Colombia #Bogota #ColombiaSeRespeta ISA.41:13:PORQUE YO,JEHOVÁ TU DIOS,TENGO AGARRADA… https://t.co/T4ugMSPMop"
AndresDelRiio9,En algún lugar del mundo,"#Anonymous

Borren las bases de datos del Icetex y Datacrédito

#SOSColombiaDDHH"
paestebanv,,Toda la inteligencia del #EjercitoNacional durante los ataques de #Anonymous. Viva el #ParoNacional4M!!! https://t.co/OnQXbp5yPi
GinaMaroma,Bogota Colombia,Que comience el juegoya que al pelele que dirige este país no le gusta dar la cara llega un contendiente que los va… https://t.co/uA3CRGauMY
TinOrtiz5,,"🇦🇲💔👏🏽 No mas al narcogobierno, no mas al presidente narcoparamilitar ivan duque, no mas a su jefe genocida norcopar… https://t.co/rhn3WaSFkl"
VivianaCuastum2,,#Anonymous gracias por su apoyo siento que su comunidad y la de #kpopers  han contribuido más de lo que el gobierno… https://t.co/PSMN2IjmNA
_nolosee,,"HORARIO DE COMIENZO:
6:00 PM 🇨🇷🇬🇹🇸🇻🇳🇮🇭🇳
7:00 PM 🇲🇽🇵🇪🇨🇴🇪🇨🇵🇦
8:00 PM 🇩🇴🇧🇴🇵🇾🇨🇱🇨🇺🇵🇷🇻🇪
9:00 PM 🇦🇷🇺🇾🇧🇷
2:00 AM 🇪🇸… https://t.co/tspdqC5ZNw"
mapivallejo,,#Anonymous la de la presidencia ya?
HEDOJUDI,,"La distorsión de la información a esta hora de CARACOL es extremadamente  indignante. 
#DerechosHumanos
#Anonymous… https://t.co/pnAvOWhWNl"
Mi_nnie13,,#Anonymous petición para que anonymous interrumpa los programas de televisión (mundialmente) para en su lugar poner… https://t.co/K0wKc9QHxv
Drownksoo,Baeksoo supremacy,"No se que tan real sea estas cosas, pero necesito que tumben el programa de Duque. #Anonymous"
RicardoMendozaN,D.F. Mexico,Una mano #Anonymous para que le pongas unos cuantos ceros a mi cuenta bancaria 😬
zaid527,colombia,Todos unamos y vamos a darle de baja a la página de la presidencia de nuevo desde tor en https://t.co/J8HOZNUGhy  #Anonymous
Tatiana92069946,,Cómo es pa que #Anonymous Le haga la vuelta a noticias RCN Y Caracol:3.
SoCloudD,,"#Anonymous
Ya no es un saquenme de latinoameríca
Ahora es un Debemos cambiar Latinoamérica, debemos hacer justicia… https://t.co/hUbG2yJoK8"
HeiderLorduy,"Cartagena, Colombia","Cuando leo “We are anonymous, we are legion” mi corazón se acelera impresionantemente, #Anonymous nos está dando una mano impresionante."
1tintico,,"#Anonymous tumban la página de la presidencia en Colombia 🇨🇴🇨🇴🇨🇴❤️ infinitas gracias.
#AmoAnonymous… https://t.co/qda5iFa8OB"
Laurafe22636073,,#FuerzaCOLOMBIA #ApoyoAlEsmad #Colombia #AnonymousColombia #Anonymous no todos son malos hay algunos buenos 😭😭😭😭😍 https://t.co/mRnljlpd9U
LadyGiraldo10,,@SpringIna_ Totalmente de acuerdo con id eso suena #Anonymous
Xiaoming_BTS,Colombia,Colombia 🇨🇴🚨🚨🇨🇴 #Anonymous #MilitarizarLasCallesYa #UribeTieneLaRazon #ApoyoAMiFuerzaPublica #yoapoyoelesmad… https://t.co/DO7r4ROvkm
Johansanchezb27,Bogotá,"#Anonymous Somos legión

#ParoNacional4M 
#SOSColombiaDDHH"
jose67113523,,#Anonymous Porfavor hackear Caracol y RCN y coloca los abusos policiales https://t.co/LBMLIXS8J1
D0200020,,si esto pasara seria increíble encerio increíble #Anonymous  https://t.co/xuOwaKwxZI
Vermisdeescarc1,,"Nos envian por DM! Comparte!

DataLeak https://t.co/K8Pp4qKbwB

https://t.co/4cjuwfWtot

#Anonymous #OpColombia… https://t.co/ggxYb3916D"
zaid527,colombia,Todos ingresen desde tor vamos a darle de baja  https://t.co/J8HOZNUGhy #Anonymous
S19021,,Annonymous haz el jaque mate derribando el ICETEX #Anonymous
delmontonsoy,,"#Anonymous SI SON TAN BERRACOS BORREN LAS CALIFICACIONES MALAS DE DACRÉDITO, LOS QUIERO VER"
Kenny_KnV,"Barranquilla, Colombia",#Anonymous tumba página del senado de Colombia @SenadoGovCo 🌩 https://t.co/CM634M5MJC
LeydiRomanCard1,,#Anonymous #ColombiaSOS Todos los Colombianos agradecidos !
greninja_f,,"@IvanDuque responda 

#Anonymous https://t.co/rO1t3SSeJx"
AnonLeaks,,"Senado Nacional de Colombia hackeado, correos electrónicos, nombres y contraseñas del Senado de Colombia filtrados… https://t.co/pL2FjkySkq"
TinOrtiz5,,"@AnonymousOpCOL Narcogobernantes, subieron como palma, caerán como cocos 🇨🇴💔
 #anonymous we are legion..."
jbyrongarcia,Medellín - Colombia,"Asistimos a otro momento de la historia, gracias  a Internet y a las redes sociales. No es gracias a la prensa trad… https://t.co/uWhnJUlVHh"
Cristia31586398,Colombia,"Presidencia de la republica 
Ejercito nacional de colombia 
Senado de la republica 
Eres grande ANONYMOUS 😎 #Anonymous"
prettyinanna,,"es muy lindo, pero a la vez muy triste q artistas extranjeros como kendall, justin y demi estén mas interesados en… https://t.co/WEwN2lZ2KH"
greninja_f,,"#Anonymous 

La @ONUHumanRights está en stem en YouTube todos #SOSColombiaDDHH esto no puede seguir asi https://t.co/GUplZKcTOE"
DiyeiJowell,"bogota, colombia","Que dolor ver a las familias de las personas asesinadas por los policías, y ver que al estado le importa una mierda… https://t.co/6kG11PK41R"
OopsSo_Zorry,"Pasadena, CA - Mexico City","Porque los cocaín*s  digo colombianos celebran que hackeen las páginas oficiales de su gobierno ?
Podrían atacarlos… https://t.co/uR5Dju9ibq"
GreatVidei,Colombia,¡¡NOTICIAS HOY!! ESTO ES MUY GRAVE Y DEBES SABERLO VENEZUELA ENTERA AQUÍ https://t.co/QtRHYpfPVH #SOSColombiaDDHH… https://t.co/7cL4fHdJxZ
Lawrence14C,,"COPIEN Y PEGUEN
hermanos colombianos, su lucha no es en vano, desde México rogando que estén a salvo 🇨🇴🙏… https://t.co/9ib88FDABw"
Tatiana79391315,,Los doble amo! #Anonymous #ColombiaEnDictadura #SOSColombiaDDHH #ColombiaSeRespeta https://t.co/EwGUfJB5VY
danielapvillega,Colombia,#Anonymous  mil gracias ya invitaron la noticias https://t.co/Lxc53QW0XO
D4n11_,Colombia,"VAMOS TODOS AL LIVE DE YOUTUBE DE LA ONU YA MISMO!!! A COMENTAR  🇨🇴S. O. S  C O L O M B I A🇨🇴

YAYAYAYA:… https://t.co/PEfuFxju6m"
luciabsa,,#Anonymous #SOSColombiaDDHH #SOSColombiaNosEstanMatando no hay que movernos en el miedo y la rabia. Nos movemos por… https://t.co/V6nEilZGw8
SpringIna_, Mᴀɢɪᴄ sʜᴏᴘ,Eso que salió en Caracol si sería por parte de ellos?? Me suena a #Anonymous
JennPetitte,,Cree este perfil uso todas las redes sociales menos esta pero lo hice para PODER APOYAR A MI PAÍS A MI TIERRA 💔😪😭 P… https://t.co/lcNZbwZVFV
EHx4TGfI84iG3KZ,,HAN VUELTO ZORRAS!#Anonymous
AndreEnergia,,#ParoNacional  #Anonymous #AnonymousColombia gracias por el apoyo! #SOSColombiaDDHH #NosEstanMatando https://t.co/oSvjqfHd6c
Emmmmily25,"Tuluá, Colombia","#Anonymous

yo aquí esperando a ver en qué momento se pronuncia

#ParoIndefinido2021 https://t.co/ceWh3Hs6WF"
Anonymous_CO,Colombia,Desde hace un poco más de una hora la página de la presidencia de la república está bajo ataques de denegación de s… https://t.co/2BOuaQxZW3
_nolosee,,"Ocupen rayos lasers para distraer a helicopteros y policias, no es mucho pero eso sirvió en chile para el estallido… https://t.co/r8Ez8wQWZo"
juansagan,,#Anonymous Es absurdo que tengamos que pagar altísimos impuestos para que compren armas y balas a la Policía y al E… https://t.co/d3XIXHFhyM
