user,location,text,sentiment,probability
Naye54072267,,"ASÍ NO SEAN DE COLOMBIA,COPIEN Y PEGUEN
 @ONU_es
@onucolombia 
@ONU_derechos
@CIDH
@CNNEE
@cnnbrk
@ajplusespanol… https://t.co/erAPInwXRZ",Positivo,66
Coty_correaa,La Plata ,Apareció #Anonymous,Positivo,59
RoniM204,,"COPIEN Y PEGUEN
hermanos colombianos, su lucha no es en vano, desde México rogando que estén a salvo 🇨🇴🙏… https://t.co/2te3Kkspe5",Positivo,62
luishdi,,confirmado... #Anonymous tumba la página de Presidencia https://t.co/SzJqYY32bT,Positivo,64
abejaran98,.,En conclusion los noticieros vendidos de este pais estan encabezados por RCN y CARACOL que distorsionan lo que REAL… https://t.co/GBEg3LIKzR,Positivo,65
ElUniversalCtg,"Cartagena, Colombia",#Atención El grupo de hackers #Anonymous anunció por medio de Twitter que hackeó la página web del Senado de… https://t.co/7Xmbdc2Hcx,Positivo,70
marcela_1497,"Quindio, Colombia",Nos están matando #SOSColombiaDDHH #Anonymous,Positivo,57
D4n11_,Colombia,¡¡Colombia despertó!! #SOSColombiaDDHH #Anonymous https://t.co/Bt5T1z3AgX,Positivo,66
lilia_rosa__,Costa Caribe Colombiana ,Te lo ruego #Anonymous https://t.co/34473wqivA,Positivo,65
ocean94girl,,"#SOSColombiaDDHH  #SOSColombiaNosEstanMatando  #ParoNacional4M  #Anonymous  #CHAMPIONSxESPN  
El alcalde del munici… https://t.co/bZHOStPl9R",Positivo,66
Nexxbot,:* Viaje astral • he!him,"#Anonymous acaba de tirar la pagina del senado ademas de filtrar los nombres, correos y contraseñas del senado.
Los… https://t.co/SIangTLq3p",Positivo,71
TinOrtiz5,,"🇦🇲💔👏🏽 No mas al narcogobierno, no mas al presidente narcoparamilitar ivan duque, no mas a su jefe genocida norcopar… https://t.co/xCbasTpYXQ",Positivo,74
jeiman28,sincelejo,#Anonymous borren la base de datos del icetex y Datacredito,Positivo,54
D0200020,,seria un sueño echo realidad sinceramente #Anonymous  #FuerzaCOLOMBIA  #AnonymousColombia  https://t.co/xuOwaKeX8a,Positivo,63
